q,chi1_z,chi2_z,PN_order,a_merger,a_star,abs_delta_a,method,delta_a_signed,q_key,chi1_key,chi2_key,updated_at,degree,m1,m2,nu,chi_eff,chi_a
0.25,0.2105263157894736,0.5473684210526315,1PN,3.0334785433255984,3.66016601660166,0.6266874732760614,Taylor,0.6266874732760614,0.25,0.210526315789,0.547368421053,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.4799999999999999,-0.16842105263157897
0.25,0.8,0.2947368421052632,2PN,3.186941061800661,3.905790579057905,0.7188495172572438,Taylor,0.7188495172572438,0.25,0.8,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.3957894736842106,0.25263157894736843
0.25,0.2947368421052632,0.8,0PN,2.849399179195413,3.693769376937693,0.84437019774228,Taylor,0.84437019774228,0.25,0.294736842105,0.8,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.6989473684210528,-0.25263157894736843
0.25,-0.2105263157894737,0.2947368421052632,2PN,3.235274534169922,3.928192819281928,0.6929182851120057,Taylor,0.6929182851120057,0.25,-0.210526315789,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.1936842105263158,-0.25263157894736843
0.25,0.0421052631578946,0.2947368421052632,2PN,3.2205224878119885,3.9225922592259215,0.7020697714139339,Taylor,0.7020697714139339,0.25,0.042105263158,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.24421052631578946,-0.1263157894736843
0.25,-0.4631578947368421,0.2947368421052632,2PN,3.253644908582791,3.934593459345934,0.680948550763143,Taylor,0.680948550763143,0.25,-0.463157894737,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.14315789473684212,-0.37894736842105264
0.25,0.0421052631578946,0.8,2PN,2.861748750535782,3.552155215521552,0.6904064649857697,Taylor,0.6904064649857697,0.25,0.042105263158,0.8,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.648421052631579,-0.3789473684210527
0.25,-0.3789473684210527,0.2947368421052632,1PN,3.243637063125197,3.9505950595059502,0.7069579963807531,Taylor,0.7069579963807531,0.25,-0.378947368421,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.16,-0.33684210526315794
0.25,-0.2947368421052632,0.3789473684210525,2PN,3.186712710425464,3.855385538553855,0.6686728281283907,Taylor,0.6686728281283907,0.25,-0.294736842105,0.378947368421,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.24421052631578938,-0.33684210526315783
0.25,-0.0421052631578947,0.2947368421052632,0PN,3.2257206006094545,4.301830183018302,1.0761095824088471,Taylor,1.0761095824088471,0.25,-0.042105263158,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.2273684210526316,-0.16842105263157894
0.25,-0.3789473684210527,0.2947368421052632,2PN,3.243637063125197,3.932193219321932,0.6885561561967348,Taylor,0.6885561561967348,0.25,-0.378947368421,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.16,-0.33684210526315794
0.25,0.2947368421052632,0.2947368421052632,2PN,3.208440238957208,3.916191619161916,0.7077513802047086,Taylor,0.7077513802047086,0.25,0.294736842105,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.2947368421052632,0.0
0.25,0.1263157894736841,0.2947368421052632,0PN,3.215047312733973,4.285028502850285,1.0699811901163114,Taylor,1.0699811901163114,0.25,0.126315789474,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.26105263157894737,-0.08421052631578954
0.25,0.2947368421052632,0.2947368421052632,1PN,3.208440238957208,3.903390339033903,0.6949501000766958,Taylor,0.6949501000766958,0.25,0.294736842105,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.2947368421052632,0.0
0.25,-0.8,0.2947368421052632,1PN,3.274386223775009,3.981798179817981,0.7074119560429724,Taylor,0.7074119560429724,0.25,-0.8,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.07578947368421052,-0.5473684210526316
0.25,0.0421052631578946,0.2947368421052632,1PN,3.2205224878119885,3.920992099209921,0.7004696113979327,Taylor,0.7004696113979327,0.25,0.042105263158,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.24421052631578946,-0.1263157894736843
0.25,0.1263157894736841,0.2105263157894736,1PN,3.2731756895895265,4.013001300130012,0.7398256105404859,Taylor,0.7398256105404859,0.25,0.126315789474,0.210526315789,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.1936842105263157,-0.04210526315789474
0.25,0.0421052631578946,0.2105263157894736,2PN,3.278468075067302,4.002600260026003,0.7241321849587008,Taylor,0.7241321849587008,0.25,0.042105263158,0.210526315789,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.1768421052631578,-0.0842105263157895
0.25,0.8,0.8,0PN,2.856341977582169,3.665766576657665,0.8094245990754958,Taylor,0.8094245990754958,0.25,0.8,0.8,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.8000000000000002,0.0
0.25,0.7157894736842105,0.2105263157894736,0PN,3.239706155119669,4.35943594359436,1.1197297884746904,Taylor,1.1197297884746904,0.25,0.715789473684,0.210526315789,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.311578947368421,0.2526315789473685
0.25,-0.5473684210526316,0.2947368421052632,2PN,3.2573471251779136,3.936993699369936,0.6796465741920228,Taylor,0.6796465741920228,0.25,-0.547368421053,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.12631578947368421,-0.4210526315789474
0.25,0.3789473684210525,0.2105263157894736,2PN,3.260762465705399,3.993799379937993,0.7330369142325943,Taylor,0.7330369142325943,0.25,0.378947368421,0.210526315789,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.24421052631578938,0.08421052631578944
0.25,-0.7157894736842105,0.2947368421052632,1PN,3.271170493647453,3.975397539753975,0.7042270461065221,Taylor,0.7042270461065221,0.25,-0.715789473684,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.09263157894736843,-0.5052631578947369
0.25,0.2105263157894736,0.2105263157894736,0PN,3.267576119374022,4.411441144114411,1.1438650247403892,Taylor,1.1438650247403892,0.25,0.210526315789,0.210526315789,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.21052631578947362,0.0
0.25,-0.0421052631578947,0.631578947368421,2PN,2.9897288097999057,3.659365936593659,0.6696371267937531,Taylor,0.6696371267937531,0.25,-0.042105263158,0.631578947368,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.4968421052631579,-0.33684210526315783
0.25,-0.0421052631578947,0.2947368421052632,1PN,3.2257206006094545,3.926592659265927,0.7008720586564721,Taylor,0.7008720586564721,0.25,-0.042105263158,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.2273684210526316,-0.16842105263157894
0.25,-0.1263157894736842,0.2947368421052632,0PN,3.230635686667928,4.309830983098309,1.0791952964303817,Taylor,1.0791952964303817,0.25,-0.126315789474,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.2105263157894737,-0.21052631578947367
0.25,-0.1263157894736842,0.2947368421052632,1PN,3.230635686667928,3.932193219321932,0.7015575326540042,Taylor,0.7015575326540042,0.25,-0.126315789474,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.2105263157894737,-0.21052631578947367
0.25,-0.8,0.2947368421052632,0PN,3.274386223775009,4.377037703770377,1.1026514799953675,Taylor,1.1026514799953675,0.25,-0.8,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.07578947368421052,-0.5473684210526316
0.25,0.2947368421052632,0.2105263157894736,0PN,3.261686696365762,4.402640264026402,1.1409535676606404,Taylor,1.1409535676606404,0.25,0.294736842105,0.210526315789,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.22736842105263153,0.0421052631578948
0.25,-0.7157894736842105,0.2947368421052632,0PN,3.271170493647453,4.368236823682368,1.0970663300349153,Taylor,1.0970663300349153,0.25,-0.715789473684,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.09263157894736843,-0.5052631578947369
0.25,-0.7157894736842105,0.3789473684210525,0PN,3.2133102569514334,4.238623862386239,1.025313605434805,Taylor,1.025313605434805,0.25,-0.715789473684,0.378947368421,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.1599999999999999,-0.5473684210526315
0.25,0.3789473684210525,0.2947368421052632,2PN,3.2022112442603308,3.9145914591459134,0.712380214885584,Taylor,0.712380214885584,0.25,0.378947368421,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.31157894736842107,0.042105263157894646
0.25,0.8,0.2105263157894736,2PN,3.2388506105006685,3.983398339833984,0.7445477293333149,Taylor,0.7445477293333149,0.25,0.8,0.210526315789,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.32842105263157895,0.29473684210526324
0.25,-0.2105263157894737,0.2947368421052632,0PN,3.235274534169922,4.317831783178318,1.0825572490083957,Taylor,1.0825572490083957,0.25,-0.210526315789,0.294736842105,2026-06-30T21:48:10,3.0,0.2,0.8,0.16000000000000003,0.1936842105263158,-0.25263157894736843
