method,q,PN_order,chi_eff_bin,chi_eff_mean,median_abs_delta_a,mean_abs_delta_a,p25_abs_delta_a,p75_abs_delta_a,n
Padé,0.25,0PN,"(-0.801, -0.667]",-0.7234449760765552,6.281056402594006,6.283610964085136,6.2778848537378025,6.289755550213203,11
Padé,0.25,0PN,"(-0.667, -0.533]",-0.6015037593984963,6.295101123891689,6.281026750310638,6.286786365820692,6.302259064019294,28
Padé,0.25,0PN,"(-0.533, -0.4]",-0.4715789473684212,6.15143224913105,5.718322438762144,5.106445203951594,6.314333390293256,40
Padé,0.25,0PN,"(-0.4, -0.267]",-0.33684210526315794,4.167365986884457,4.272493158396573,3.4055249060421615,5.086542251607409,40
Padé,0.25,0PN,"(-0.267, -0.133]",-0.2021052631578948,2.7525294455633507,2.82343296683191,2.2128360403070078,3.397146908393425,40
Padé,0.25,0PN,"(-0.133, 0.0]",-0.0673684210526316,1.759859112969174,1.8091225785862342,1.380786829282198,2.216769959333758,40
Padé,0.25,0PN,"(0.0, 0.133]",0.06736842105263154,1.0590473869893051,1.0896047486749008,0.7763304828889402,1.384319455722804,40
Padé,0.25,0PN,"(0.133, 0.267]",0.20210526315789465,0.5461659700819805,0.5677587379267959,0.33018799429115153,0.7884928491637453,40
Padé,0.25,0PN,"(0.267, 0.4]",0.33684210526315783,0.18016760317797487,0.21750774289586214,0.0839969515647017,0.347225198539102,40
Padé,0.25,0PN,"(0.4, 0.533]",0.471578947368421,0.17501882479278258,0.17749519785653456,0.0684018404212111,0.28614644139791773,40
Padé,0.25,0PN,"(0.533, 0.667]",0.6015037593984963,0.327171937877772,0.3137684726109458,0.24048149119315784,0.4202220991339918,28
Padé,0.25,0PN,"(0.667, 0.8]",0.7234449760765552,0.4717614154190359,0.457054499593198,0.41012484977729113,0.4936661589118607,11
Padé,0.25,1PN,"(-0.801, -0.667]",-0.7234449760765552,6.277070930637247,6.099810765883498,5.880110618949511,6.278882497364164,11
Padé,0.25,1PN,"(-0.667, -0.533]",-0.6015037593984963,5.091069089551295,5.00324182896136,4.263737347116935,6.054121289247704,28
Padé,0.25,1PN,"(-0.533, -0.4]",-0.4715789473684212,3.418737168852802,3.5722078273009976,2.5961941788490837,4.469533904723649,40
Padé,0.25,1PN,"(-0.4, -0.267]",-0.33684210526315794,1.9431435646422335,2.045010410121745,1.4535297065222093,2.5850921065929073,40
Padé,0.25,1PN,"(-0.267, -0.133]",-0.2021052631578948,1.0663608287016637,1.1240230258378108,0.7650912658295596,1.4535525489574814,40
Padé,0.25,1PN,"(-0.133, 0.0]",-0.06736842105263162,0.5357367007279497,0.5709187582041958,0.3532840790071701,0.7762259049283174,40
Padé,0.25,1PN,"(0.0, 0.133]",0.06736842105263154,0.21416289854045975,0.2333841946625009,0.09146199604025478,0.3628173055077821,40
Padé,0.25,1PN,"(0.133, 0.267]",0.20210526315789465,0.0779591260760488,0.08807200673305084,0.03887439430262855,0.1306462148771411,40
Padé,0.25,1PN,"(0.267, 0.4]",0.33684210526315783,0.11955182680861305,0.11749599230943028,0.05321484546529837,0.18257247443733143,40
Padé,0.25,1PN,"(0.4, 0.533]",0.471578947368421,0.21117317813159442,0.21362592401993305,0.16796940588326584,0.2702236611085276,40
Padé,0.25,1PN,"(0.533, 0.667]",0.6015037593984963,0.2723573356538065,0.27317055697982684,0.2383926693819664,0.2905670186001616,28
Padé,0.25,1PN,"(0.667, 0.8]",0.7234449760765552,0.31918570608793506,0.3202641782553153,0.31144721813860266,0.3280026662046477,11
Padé,0.25,2PN,"(-0.801, -0.667]",-0.7234449760765552,6.054249931967531,5.8002171701602885,5.212443852272845,6.244272445404855,11
Padé,0.25,2PN,"(-0.667, -0.533]",-0.6015037593984963,4.661826165258866,4.640605565334998,4.038914864868711,5.444460323151094,28
Padé,0.25,2PN,"(-0.533, -0.4]",-0.4715789473684211,3.447940089144831,3.5805286593842056,2.888223381769375,4.229709922325408,40
Padé,0.25,2PN,"(-0.4, -0.267]",-0.33684210526315794,2.3779870489906676,2.4491908281635495,2.060190372588816,2.822315828965145,40
Padé,0.25,2PN,"(-0.267, -0.133]",-0.2021052631578948,1.661220314650259,1.6968203055657836,1.459760732776254,1.9251997136739534,40
Padé,0.25,2PN,"(-0.133, 0.0]",-0.06736842105263162,1.138009895039961,1.158337500078383,0.9911991004308061,1.3098792702648514,40
Padé,0.25,2PN,"(0.0, 0.133]",0.06736842105263154,0.712321631838988,0.724848273027336,0.5949266293536464,0.8461980958035209,40
Padé,0.25,2PN,"(0.133, 0.267]",0.20210526315789465,0.3403121745210418,0.3452164837013733,0.23691324063855512,0.44407660403452814,40
Padé,0.25,2PN,"(0.267, 0.4]",0.33684210526315783,0.0992869906280058,0.11596020672727678,0.04107740383365708,0.18270152551669983,40
Padé,0.25,2PN,"(0.4, 0.533]",0.471578947368421,0.33977361075905943,0.3403385952870598,0.25277847456534164,0.4261567855985975,40
Padé,0.25,2PN,"(0.533, 0.667]",0.6015037593984963,0.5507425845034337,0.5388931292370526,0.4816169918142097,0.6027073033109,28
Padé,0.25,2PN,"(0.667, 0.8]",0.7234449760765552,0.6752213096482913,0.6756997218096708,0.6612822016369527,0.6896388298210093,11
Padé,0.3,0PN,"(-0.801, -0.667]",-0.7238866396761133,6.331761857947197,6.299931749230102,6.325511173008907,6.342304740289068,12
Padé,0.3,0PN,"(-0.667, -0.533]",-0.5934599813142324,6.0200104597388675,5.771573142385574,5.379068275159885,6.324155962563552,26
Padé,0.3,0PN,"(-0.533, -0.4]",-0.46435116130406984,4.725638081964323,4.787062942402642,3.9802386531115754,5.600579400714821,38
Padé,0.3,0PN,"(-0.4, -0.267]",-0.33360323886639676,3.330559637294866,3.4218338175070024,2.7536306453191544,4.008462784432185,42
Padé,0.3,0PN,"(-0.267, -0.133]",-0.20080971659919028,2.2786566212746457,2.3216750791845566,1.8295999202949682,2.7521120345406334,40
Padé,0.3,0PN,"(-0.133, 0.0]",-0.06801619433198385,1.454166885347014,1.5074627688314821,1.156064500113168,1.8323670205884208,42
Padé,0.3,0PN,"(0.0, 0.133]",0.06801619433198375,0.8900930551283468,0.9192628684558832,0.6448664243116197,1.1508362326422228,42
Padé,0.3,0PN,"(0.133, 0.267]",0.20080971659919017,0.4347189696806337,0.4619087646763731,0.260696098269465,0.6496689187410222,40
Padé,0.3,0PN,"(0.267, 0.4]",0.3336032388663967,0.15205841681532317,0.18945647340961014,0.07889102452987233,0.26787848641692075,42
Padé,0.3,0PN,"(0.4, 0.533]",0.4643511613040698,0.17137262399204856,0.17888453502833193,0.08336514073409013,0.273406327344335,38
Padé,0.3,0PN,"(0.533, 0.667]",0.5934599813142323,0.31477142729987845,0.3022035826073029,0.23927237038905785,0.38685532878653905,26
Padé,0.3,0PN,"(0.667, 0.8]",0.7238866396761133,0.45932402007339235,0.44527445851389974,0.4036414124770647,0.49009775001152156,12
Padé,0.3,1PN,"(-0.801, -0.667]",-0.7238866396761133,4.4385189203569535,4.271395562278074,3.8558619858830525,4.70747115616485,12
Padé,0.3,1PN,"(-0.667, -0.533]",-0.5934599813142324,3.2025287115640495,3.195530922778998,2.7204024085732255,3.740701165211758,26
