q,chi1_z,chi2_z,PN_order,Padé,Taylor,Taylor_minus_Pade,Pade_better
0.25,-0.8,-0.8,0PN,6.279077766961194,6.279077766961194,0.0,False
0.25,-0.8,-0.8,1PN,6.279077766961194,6.279077766961194,0.0,False
0.25,-0.8,-0.8,2PN,6.279077766961194,4.5621060697914775,-1.7169716971697166,False
0.25,-0.8,-0.7157894736842105,0PN,6.294961674617808,6.294961674617808,0.0,False
0.25,-0.8,-0.7157894736842105,1PN,5.927724950945441,4.909223100760421,-1.0185018501850198,False
0.25,-0.8,-0.7157894736842105,2PN,5.24605678412876,2.918624040854432,-2.3274327432743283,False
0.25,-0.8,-0.6315789473684211,0PN,6.307779001142806,6.307779001142806,0.0,False
0.25,-0.8,-0.6315789473684211,1PN,4.584406663909083,3.3386820914518367,-1.245724572457246,False
0.25,-0.8,-0.6315789473684211,2PN,4.260374260668758,2.265774800722764,-1.9945994599459942,False
0.25,-0.8,-0.5473684210526316,0PN,6.311233834115868,5.793582068939349,-0.5176517651765185,False
0.25,-0.8,-0.5473684210526316,1PN,3.5061533260650624,2.558058516584114,-0.9480948094809483,False
0.25,-0.8,-0.5473684210526316,2PN,3.513354046137069,1.8603887496074163,-1.6529652965296526,False
0.25,-0.8,-0.4631578947368421,0PN,5.189739351276199,4.293649742315303,-0.8960896089608958,False
0.25,-0.8,-0.4631578947368421,1PN,2.657486125953666,2.0758279601370844,-0.5816581658165818,False
0.25,-0.8,-0.4631578947368421,2PN,2.9359139687379447,1.5741777951205829,-1.3617361736173619,False
0.25,-0.8,-0.3789473684210527,0PN,4.24928920753992,3.267591037722938,-0.9816981698169815,False
0.25,-0.8,-0.3789473684210527,1PN,1.9994642250416688,1.738638142433408,-0.2608260826082607,False
0.25,-0.8,-0.3789473684210527,2PN,2.477111989818148,1.3594002186410288,-1.1177117711771194,False
0.25,-0.8,-0.2947368421052632,0PN,3.4640193469170284,2.627935738556192,-0.8360836083608363,False
0.25,-0.8,-0.2947368421052632,1PN,1.4910220471870557,1.4878217271550525,-0.003200320032003212,False
0.25,-0.8,-0.2947368421052632,2PN,2.1006830132836654,1.1925922042027568,-0.9080908090809086,False
0.25,-0.8,-0.2105263157894737,0PN,2.8013897981477847,2.189328592027173,-0.6120612061206119,False
0.25,-0.8,-0.2105263157894737,1PN,1.0916188210500757,1.2860382629942697,0.19441944194419403,True
0.25,-0.8,-0.2105263157894737,2PN,1.774887147882758,1.053214980666037,-0.721672167216721,False
0.25,-0.8,-0.1263157894736842,0PN,2.253962307064031,1.8803249433276568,-0.37363736373637435,False
0.25,-0.8,-0.1263157894736842,1PN,0.7882157324065653,1.1330502158549105,0.3448344834483452,True
0.25,-0.8,-0.1263157894736842,2PN,1.497886699503275,0.949031814014726,-0.5488548854885489,False
0.25,-0.8,-0.0421052631578947,0PN,1.7957054588836403,1.6468905773954914,-0.14881488148814892,False
0.25,-0.8,-0.0421052631578947,1PN,0.5523811264503964,1.010826971034855,0.4584458445844586,True
0.25,-0.8,-0.0421052631578947,2PN,1.2564515334911004,0.8668125695947113,-0.3896389638963891,False
0.25,-0.8,0.0421052631578946,0PN,1.401712441351897,1.4577180419119529,0.05600560056005577,True
0.25,-0.8,0.0421052631578946,1PN,0.3600082709348555,0.9048627563834,0.5448544854485444,True
0.25,-0.8,0.0421052631578946,2PN,1.0368759577035327,0.7936516352712895,-0.24322432243224323,False
0.25,-0.8,0.1263157894736841,0PN,1.0755220143905238,1.3155460167907638,0.24002400240024002,True
0.25,-0.8,0.1263157894736841,1PN,0.2146359257816623,0.8266971319022742,0.6120612061206119,True
0.25,-0.8,0.1263157894736841,2PN,0.8418986520542902,0.7434888110701916,-0.09840984098409855,False
0.25,-0.8,0.2105263157894736,0PN,0.7979379178116481,1.201178241844052,0.40324032403240384,True
0.25,-0.8,0.2105263157894736,1PN,0.1010682308429515,0.7643345574756149,0.6632663266326634,True
0.25,-0.8,0.2105263157894736,2PN,0.6579239164115087,0.7051286368835559,0.04720472047204716,True
0.25,-0.8,0.2947368421052632,0PN,0.5513963544828169,1.1026514799953675,0.5512551255125506,True
0.25,-0.8,0.2947368421052632,1PN,0.0025414689942673,0.7074119560429724,0.704870487048705,True
0.25,-0.8,0.2947368421052632,2PN,0.4745886737147398,0.6690081156589338,0.19441944194419403,True
0.25,-0.8,0.3789473684210525,0PN,0.3449343880724047,1.029002794913089,0.6840684068406844,True
0.25,-0.8,0.3789473684210525,1PN,0.0695070560720099,0.6689667913127293,0.5994597352407194,True
0.25,-0.8,0.3789473684210525,2PN,0.304930387672365,0.64976487112071,0.344834483448345,True
0.25,-0.8,0.463157894736842,0PN,0.1581050561986452,0.964585704263452,0.8064806480648068,True
0.25,-0.8,0.463157894736842,1PN,0.1339241467216472,0.6333525809511209,0.4994284342294737,True
0.25,-0.8,0.463157894736842,2PN,0.1309023359266183,0.6317524209351189,0.5008500850085006,True
0.25,-0.8,0.5473684210526315,0PN,0.0053023237317297,0.9139896054611896,0.9086872817294599,True
0.25,-0.8,0.5473684210526315,1PN,0.1869204855479109,0.6075589623968831,0.4206384768489722,True
0.25,-0.8,0.5473684210526315,2PN,0.0405058440837651,0.621160322532897,0.5806544784491319,True
0.25,-0.8,0.631578947368421,0PN,0.151533196209642,0.8749694540553845,0.7234362578457425,True
0.25,-0.8,0.631578947368421,1PN,0.2315411970097223,0.5901409712070995,0.3585997741973772,True
0.25,-0.8,0.631578947368421,2PN,0.212339276817703,0.6181437714871274,0.40580449466942436,True
0.25,-0.8,0.7157894736842105,0PN,0.2821283505513929,0.8467845407377363,0.5646561901863434,True
0.25,-0.8,0.7157894736842105,1PN,0.2741275504713845,0.5811579780814706,0.30703042761008614,True
0.25,-0.8,0.7157894736842105,2PN,0.3853386715834959,0.6219620584895114,0.23662338690601548,True
0.25,-0.8,0.8,0PN,0.4025982051522025,0.8279248471530276,0.4253266420008251,True
0.25,-0.8,0.8,1PN,0.3289908444161296,0.579099964664779,0.2501091202486494,True
0.25,-0.8,0.8,2PN,0.5394118865203397,0.6327053252008326,0.09329343868049289,True
0.25,-0.7157894736842105,-0.8,0PN,6.276284070029298,6.276284070029298,0.0,False
0.25,-0.7157894736842105,-0.8,1PN,6.276284070029298,6.276284070029298,0.0,False
0.25,-0.7157894736842105,-0.8,2PN,6.276284070029298,4.401696611283423,-1.874587458745875,False
0.25,-0.7157894736842105,-0.7157894736842105,0PN,6.292542291554042,6.292542291554042,0.0,False
0.25,-0.7157894736842105,-0.7157894736842105,1PN,5.832496286953582,4.770790116336521,-1.061706170617061,False
0.25,-0.7157894736842105,-0.7157894736842105,2PN,5.178830920416928,2.8754005773826257,-2.3034303430343024,False
0.25,-0.7157894736842105,-0.6315789473684211,0PN,6.305785011823591,6.305785011823591,0.0,False
0.25,-0.7157894736842105,-0.6315789473684211,1PN,4.507205153837793,3.2718816214845567,-1.2353235323532363,False
0.25,-0.7157894736842105,-0.6315789473684211,2PN,4.207175150837493,2.241378571179527,-1.9657965796579662,False
0.25,-0.7157894736842105,-0.5473684210526316,0PN,6.232807358711168,5.688752953270623,-0.5440544054405443,False
0.25,-0.7157894736842105,-0.5473684210526316,1PN,3.4437284508203785,2.5180358815634527,-0.9256925692569258,False
