method,q,PN_order,mean_abs_delta_a,median_abs_delta_a,p90_abs_delta_a,max_abs_delta_a,std_abs_delta_a,n_valid,n_total,valid_fraction
Padé,0.25,0PN,2.331642194802378,1.3825465808985469,6.2895743580852255,6.331748437555685,2.274528020532826,400,400,1.0
Padé,0.25,1PN,1.3886056905082294,0.3925648729774038,4.510346170558274,6.289464553123803,1.800526470982106,389,400,0.9725
Padé,0.25,2PN,1.6263320916803807,0.9856259239493186,4.2259295333128675,6.283056886149601,1.615538968351488,389,400,0.9725
Padé,0.3,0PN,1.9812667405603102,1.1530348212825199,5.5304370666292,6.356649075785398,2.0079579997667514,400,400,1.0
Padé,0.3,1PN,0.946210043790524,0.3309140106532653,2.8873003190965285,4.992536986845465,1.1730150981219098,383,400,0.9575
Padé,0.3,2PN,1.2560863739980153,0.8476206075142478,3.0229711474802117,4.446882421388919,1.1120369827593932,383,400,0.9575
Padé,0.35,0PN,1.6464394931175304,0.9899940566807874,4.309586068933968,6.387187989058335,1.6523465941068163,400,400,1.0
Padé,0.35,1PN,0.684343128209602,0.2987284602981062,1.9789064923871844,3.570106280887517,0.7948330561654281,378,400,0.945
Padé,0.35,2PN,1.0522170892708331,0.7665254226937455,2.417171490488805,3.460495319791407,0.8662517257612766,378,400,0.945
Padé,0.4,0PN,1.3904896080172622,0.8720389746438193,3.5557874700809986,5.488328432298889,1.353877607611013,400,400,1.0
Padé,0.4,1PN,0.5256077213515532,0.2810661355885249,1.4246057651725448,2.710450644520112,0.5700926540724228,373,400,0.9325
Padé,0.4,2PN,0.9254142560539601,0.6999286566751257,2.046361396458325,2.924872086664326,0.7288815891644614,373,400,0.9325
Padé,0.45,0PN,1.2085612624027777,0.7796496238452133,3.0009544388697735,4.760582962077628,1.1487584979987324,400,400,1.0
Padé,0.45,1PN,0.42277650660119387,0.2671693624778086,1.0813082539514816,2.1539222960110203,0.42711677970895484,370,400,0.925
Padé,0.45,2PN,0.8377672378664291,0.6403836272105039,1.7935536078886927,2.5963665404354628,0.64213261197832,370,400,0.925
Padé,0.5,0PN,1.0750279809196719,0.7104009297128611,2.592234556014022,4.2541497345039945,1.0028573158342624,400,400,1.0
Padé,0.5,1PN,0.35431333083587474,0.2546317892602379,0.8226925380511803,1.7875030698375278,0.3331426298603899,368,400,0.92
Padé,0.5,2PN,0.7737232021153098,0.6008736877464791,1.64254674255352,2.38916323585413,0.5839749064762665,368,400,0.92
Padé,0.55,0PN,0.9748711832507579,0.6572757547031798,2.340425311294084,3.8806032386463785,0.8960451222738258,400,400,1.0
Padé,0.55,1PN,0.30706808133867214,0.2410841205336251,0.6692380786270442,1.5259677751000231,0.2703847431509929,366,400,0.915
Padé,0.55,2PN,0.7260732945128053,0.5696819302132721,1.5320920441061237,2.241239302252739,0.5434349629850196,366,400,0.915
Padé,0.6,0PN,0.8985171557079247,0.6116618068688382,2.1275083857742225,3.604086153781076,0.8167194935609599,400,400,1.0
Padé,0.6,1PN,0.2741740666035916,0.2305109522385595,0.5609588135729178,1.3398597311388118,0.22826765040275462,364,400,0.91
Padé,0.6,2PN,0.6894991455950205,0.5499849617342492,1.4589868599325697,2.136739419107609,0.5149693034228666,364,400,0.91
Padé,0.65,0PN,0.840445064808708,0.58183467737623,1.9728783170420807,3.406442278837486,0.7568734453431174,400,400,1.0
Padé,0.65,1PN,0.25121807123218115,0.2188410199456059,0.4795302741956561,1.2126228968992931,0.2001380840965095,363,400,0.9075
Padé,0.65,2PN,0.6615254297868031,0.5302412946131216,1.4003820529537172,2.0679084254521483,0.4934436806225506,363,400,0.9075
Padé,0.7,0PN,0.7970042207745651,0.5658008769758833,1.8731778325160324,3.252434236465274,0.7116066381868766,400,400,1.0
Padé,0.7,1PN,0.236359969113452,0.2080762527174695,0.44024619923721325,1.1138203750791351,0.18182504984954928,364,400,0.91
Padé,0.7,2PN,0.6398993753253366,0.5183763269331454,1.3564956877862517,2.0123102240640343,0.4766031499895237,364,400,0.91
Padé,0.75,0PN,0.7642781456783525,0.5454529644849642,1.7675853891235793,3.1389308969635272,0.6771256292245373,400,400,1.0
Padé,0.75,1PN,0.2234441082153169,0.2000834283412702,0.403067543434398,1.0419211959934294,0.16891241856849296,361,400,0.9025
Padé,0.75,2PN,0.6242538620539538,0.502437748544037,1.3357700015269525,1.9724142452983604,0.4660789823453871,361,400,0.9025
Padé,0.8,0PN,0.741482160697158,0.5277358366562184,1.7361615787142717,3.056563263778539,0.6530581379150715,421,421,1.0
Padé,0.8,1PN,0.21619943255413557,0.19629572007388885,0.3891319651471257,0.9915567631284744,0.1597502086507612,378,421,0.8978622327790974
Padé,0.8,2PN,0.6144759512149971,0.4982676836768627,1.3037330104388214,1.9436519726494268,0.4587105117921762,378,421,0.8978622327790974
Padé,0.85,0PN,0.7247767892448199,0.5222317689050762,1.6604880732509062,2.999931134576624,0.6354584093629984,400,400,1.0
Padé,0.85,1PN,0.21222846953334404,0.1923278737643441,0.38549421142212953,0.9565267941425808,0.15471938808081326,360,400,0.9
Padé,0.85,2PN,0.6051186771220703,0.48522698498079797,1.2956015727665124,1.9238235238155483,0.45279238385066656,360,400,0.9
Padé,0.9,0PN,0.7142845346348881,0.5176824535193256,1.6361272380655008,2.963600860495464,0.6240744297155665,400,400,1.0
Padé,0.9,1PN,0.2092521186074101,0.18878683360780263,0.3823330390338423,0.9345979602054344,0.1514041522952384,360,400,0.9
Padé,0.9,2PN,0.6000327494414253,0.48444991610752863,1.2758808896585383,1.9122957299824128,0.4487554902890608,360,400,0.9
Padé,0.95,0PN,0.708726795251795,0.5194255840377009,1.6242863092426645,2.9517852467344583,0.617967628780582,400,400,1.0
Padé,0.95,1PN,0.20781158541965686,0.186429061501246,0.3783307840599169,0.9307831465244374,0.1500957448026622,360,400,0.9
Padé,0.95,2PN,0.5974686000886018,0.4817903646788857,1.248835103792197,1.91408147635742,0.44679916935414243,360,400,0.9
Padé,1.0,0PN,0.7075395586488704,0.5106038005183329,1.6208626516251314,2.946113678202902,0.6164240869049538,400,400,1.0
Padé,1.0,1PN,0.2106489650871182,0.19299332193306415,0.38153295472492565,0.9275118180168832,0.1520628201667817,364,400,0.91
Padé,1.0,2PN,0.5968107010523768,0.46619413950523403,1.2667997549823058,1.912410307865868,0.44382156282416213,364,400,0.91
Taylor,0.25,0PN,2.4038922915738876,1.456137995879308,6.286510670279644,6.3299532273256425,1.9142957743623892,400,400,1.0
Taylor,0.25,1PN,1.4778916915138816,0.9100131838659866,3.2334857495820737,6.283056886149601,1.303873855264106,400,400,1.0
Taylor,0.25,2PN,1.1929071930640367,0.8370038576806733,2.276553079426659,4.5621060697914775,0.7774441138938991,400,400,1.0
Taylor,0.3,0PN,2.1749775332063956,1.4862681446148531,4.841008123734911,6.356649075785398,1.5324204027712582,400,400,1.0
Taylor,0.3,1PN,1.2553695724103162,0.9558775239830171,2.3176357865011865,3.89802753590037,0.6857708148020373,400,400,1.0
Taylor,0.3,2PN,1.0875707925323281,0.8843900699626313,1.7731798170277702,2.489886721818962,0.41557100227232585,400,400,1.0
Taylor,0.35,0PN,1.962552752287765,1.514446501925312,3.5794330536324384,6.178367106970127,1.0784158849752845,400,400,1.0
Taylor,0.35,1PN,1.195796076620198,0.9939944567207908,1.937730472411738,2.8828375540148303,0.47479199255387877,400,400,1.0
Taylor,0.35,2PN,1.0672032173342694,0.9299677156783936,1.5279521974205699,2.007550025261955,0.279709849222424,400,400,1.0
Taylor,0.4,0PN,1.8458805109672307,1.542291767012752,3.0346153528692765,4.90827042649831,0.7829001105683523,400,400,1.0
Taylor,0.4,1PN,1.1762195448706207,1.027622599667126,1.7567275640903983,2.458425441999859,0.3669143483833599,400,400,1.0
Taylor,0.4,2PN,1.0668306059767314,0.9702061299642395,1.3943033962561038,1.770356635119171,0.2037306272283323,400,400,1.0
Taylor,0.45,0PN,1.7888553283537716,1.563327991681997,2.709565299955882,4.151722075989019,0.6183161822424055,400,400,1.0
Taylor,0.45,1PN,1.1708255253734732,1.0556772266054892,1.6288522552320623,2.221129016683088,0.3002267667726558,400,400,1.0
Taylor,0.45,2PN,1.0731617589968356,1.0028065700414093,1.3214182039159592,1.627469650746494,0.15531064873655312,400,400,1.0
Taylor,0.5,0PN,1.7587409363475346,1.5804879384137311,2.5159069232507445,3.7140957291034544,0.5169952363800533,400,400,1.0
Taylor,0.5,1PN,1.1712341856724668,1.076437533373227,1.5617312595346797,2.081132432773821,0.25546193468359685,400,400,1.0
Taylor,0.5,2PN,1.0815952217760774,1.032471208908685,1.2794035525160978,1.5442787474052846,0.12258804001657705,400,400,1.0
Taylor,0.55,0PN,1.7424863673913409,1.59736976410412,2.4011929682908466,3.4357587541979338,0.44888728450811805,400,400,1.0
Taylor,0.55,1PN,1.174559574712073,1.0958392083073725,1.507455820506572,1.9828134596684808,0.22351344951000676,400,400,1.0
Taylor,0.55,2PN,1.090611179872589,1.052565392568095,1.2409234445338282,1.4827634546679804,0.09919892751941115,400,400,1.0
Taylor,0.6,0PN,1.7330143634872592,1.605375654937003,2.3135269876344084,3.2504507902447224,0.4012819679248947,400,400,1.0
Taylor,0.6,1PN,1.1784629083417446,1.1076823892713388,1.4743107470148469,1.9143171768833864,0.20054913507023095,400,400,1.0
Taylor,0.6,2PN,1.0986789299439048,1.0705377515882617,1.219290649980497,1.4406698121469126,0.08266821865215543,400,400,1.0
Taylor,0.65,0PN,1.727671777408973,1.6198978188875979,2.252542388218772,3.131214756085212,0.366875191681928,400,400,1.0
Taylor,0.65,1PN,1.1824872589571278,1.1232467367040988,1.4495197729900353,1.8742890635159544,0.1835423208681822,400,400,1.0
Taylor,0.65,2PN,1.105829593190551,1.084220935353082,1.204881114947353,1.4182434589554989,0.07042689741302542,400,400,1.0
Taylor,0.7,0PN,1.725066246976553,1.631253611073495,2.2200514795877577,3.042013194361063,0.34188355608654497,400,400,1.0
Taylor,0.7,1PN,1.1865503953913945,1.1346215420919157,1.4346370610915367,1.8402930223438616,0.17115006415056336,400,400,1.0
Taylor,0.7,2PN,1.1122569660484602,1.0940821772444456,1.1952379015791508,1.3970486979114185,0.061673933877807466,400,400,1.0
Taylor,0.75,0PN,1.723457268612487,1.6349225260156404,2.1823285429294836,2.979714975371368,0.3231332738157738,400,400,1.0
Taylor,0.75,1PN,1.1897839012757534,1.1406318365215953,1.4256748267967116,1.815598563730203,0.1615275117266196,400,400,1.0
Taylor,0.75,2PN,1.1172266455501807,1.1007595022404708,1.1838179799954995,1.38195519939377,0.0549839141853379,400,400,1.0
Taylor,0.8,0PN,1.7230206114091968,1.6391266262159605,2.1713223086197164,2.935751182570419,0.31029469098932977,421,421,1.0
Taylor,0.8,1PN,1.1926112759388325,1.1446299741711168,1.4128464610349578,1.798837491201282,0.15514079267399933,421,421,1.0
Taylor,0.8,2PN,1.1212996317102768,1.1063924885622654,1.1811205977914336,1.3723948469368557,0.050546980783945566,421,421,1.0
Taylor,0.85,0PN,1.7237571247035812,1.640568599561722,2.157438483079756,2.90552169363253,0.3019893301881676,421,421,1.0
Taylor,0.85,1PN,1.1957195228436328,1.1500259675723656,1.4100841551981995,1.7870098424474112,0.15138732677792766,421,421,1.0
Taylor,0.85,2PN,1.1252953782914104,1.1114385825591309,1.1815417381705178,1.36536767823099,0.04797368626973626,421,421,1.0
Taylor,0.9,0PN,1.7240300266116593,1.6468554819509,2.140301906523473,2.887593259735388,0.296150518807802,421,421,1.0
Taylor,0.9,1PN,1.1975032646718071,1.152717523240664,1.4090287792107423,1.78028252866228,0.14849967848563056,421,421,1.0
Taylor,0.9,2PN,1.127656850101609,1.1138819740476835,1.181920869862568,1.361840684477862,0.046138263500546166,421,421,1.0
Taylor,0.95,0PN,1.7243198329547766,1.6513417830860648,2.1393413474648657,2.885378606070392,0.293259387033816,421,421,1.0
Taylor,0.95,1PN,1.1986235578640847,1.1579164626186067,1.4083130142051417,1.7852685950692917,0.14726657551849168,421,421,1.0
Taylor,0.95,2PN,1.1290907138433408,1.1148645277077578,1.1835616675895122,1.3684269109008746,0.04546277749416985,421,421,1.0
Taylor,1.0,0PN,1.7248046492870148,1.6466287909903716,2.136956609920076,2.88370743757884,0.29291291055086155,421,421,1.0
Taylor,1.0,1PN,1.1993250229395818,1.1556382059368242,1.4080837226313472,1.7851975865937413,0.14754214651139347,421,421,1.0
Taylor,1.0,2PN,1.1299404122694887,1.1138302240788105,1.186084429844306,1.3683559024253245,0.04607715001318684,421,421,1.0
