PN_order,pade_order,sigma_power,n_tests,median_stability_score,max_stability_score,median_nrmse_Ebind,median_nrmse_chi,median_nrmse_S,max_nrmse_S,median_bias_S,max_abs_residual_S
0PN,2/1,4.0,5,0.0015903826590114836,0.0017809197493166898,0.0013046858437658715,5.6118337044069236e-05,0.0002295784782015428,0.000268502878170535,1.8192595656804755e-05,9.625484247877125e-05
0PN,2/1,3.0,5,0.0018825576202969152,0.0020797558320256077,0.0015722112163725826,6.366422773800565e-05,0.00026438793763172393,0.00035392781876784733,2.1265923965634316e-05,0.00010315200283095294
0PN,2/1,2.0,5,0.002103203172496895,0.0022326107723741272,0.0017546840050359344,7.078735305759378e-05,0.0002755872676511729,0.0003471678772207673,2.468605363104981e-05,0.00011047035991751386
0PN,2/1,1.0,5,0.002285838509434896,0.002452259040297515,0.0019386264769994705,8.040912334229495e-05,0.0003065530727552079,0.00035409630846781046,2.890793711448314e-05,0.00011828733140006875
1PN,2/1,4.0,5,0.02388133334489902,0.041059214613850016,0.01915622287297079,0.0016437681537378782,0.003081342318190352,0.0052600587069486695,-0.00028473013044229934,0.001295094242120598
1PN,2/1,3.0,5,0.036594159715501055,0.04252004288425081,0.030573773753309552,0.0018038511983346594,0.004102356438107968,0.00581991471625689,-0.0003327625306482176,0.0012856597380466184
1PN,2/1,1.0,5,0.051677689149620405,0.0589644895002033,0.039893415193721055,0.0023319881394897072,0.004937970207631011,0.007843639352325169,-0.0004422420943649783,0.0023861712409747327
1PN,2/1,2.0,5,0.0530301214067802,0.05843373967979304,0.04684738989990511,0.0020494286654649907,0.005064187251253271,0.006758666670220198,-0.0005551696598557739,0.002285945057344918
2PN,2/1,4.0,5,0.017604997341664822,0.03274820637597822,0.015317095471564537,0.0017218257111560312,0.0008407824022412097,0.0010445469566714744,5.0535595531762565e-05,0.00040601712293941716
2PN,2/1,3.0,5,0.029541788708870035,0.0581769749202656,0.027455055642918714,0.0019318531496326247,0.0009437005360907801,0.0028002881498408027,-1.858307294960504e-05,0.0004526593665072909
2PN,2/1,2.0,5,0.04667947362982438,0.05068100840043479,0.043790494614061544,0.0021018167249164895,0.0008339747128547997,0.00148328229869868,-0.0001272342450690367,0.00041788783196494705
2PN,2/1,1.0,5,0.04893307358691116,0.05570958134562392,0.045905660527142414,0.0023229116905604187,0.0008647364595371869,0.0016156366117415894,-0.0001332550791362701,0.00042926698126066754
