PN_order,method,degree,sigma_power,holdout_cut,a_known_min,a_known_max,n_train,n_hidden,status,error,n_eval,nrmse_Ebind,nrmse_chi,nrmse_S,bias_S,max_abs_residual_S,stability_score
1PN,Taylor,2,1.0,11.0,10.0,25.564703732028196,3663,414,success,,2000,0.10185215661064734,0.6344977784997288,0.6975700010032478,-0.024426086045959194,0.03951791861727649,1.433919936113624
1PN,Taylor,2,2.0,11.0,10.0,25.564703732028196,3663,414,success,,2000,0.08129574921684118,0.4778752854483167,0.5245291740179238,-0.01817260437083499,0.030706764163317857,1.0837002086830818
1PN,Taylor,2,3.0,11.0,10.0,25.564703732028196,3663,414,success,,2000,0.06493708728876116,0.3600623074866117,0.394751495645228,-0.013520254459495342,0.023844032713961738,0.8197508904206008
1PN,Taylor,2,4.0,11.0,10.0,25.564703732028196,3663,414,success,,2000,0.05188878878030029,0.27125788251195887,0.2971543481576815,-0.010054534927591029,0.018490474991560646,0.6203010194499406
1PN,Taylor,3,1.0,11.0,10.0,25.564703732028196,3663,414,success,,2000,0.00456298968220642,0.12042078204804464,0.1287521092435399,0.004300458425776976,0.008332231215344876,0.25373588097379096
1PN,Taylor,3,2.0,11.0,10.0,25.564703732028196,3663,414,success,,2000,0.0036414382498984998,0.09176047189879177,0.09805235854853633,0.0032332044128453477,0.006514166154403256,0.1934542686972266
1PN,Taylor,3,3.0,11.0,10.0,25.564703732028196,3663,414,success,,2000,0.0029096769293437477,0.07000644063915847,0.07476222111221349,0.002433236736032425,0.005091381565478059,0.14767833868071573
1PN,Taylor,3,4.0,11.0,10.0,25.564703732028196,3663,414,success,,2000,0.002326290128671174,0.053429990522758805,0.05702536663856502,0.0018317135098067433,0.0039755112775594625,0.112781647289995
1PN,Taylor,4,1.0,11.0,10.0,25.564703732028196,3663,414,success,,2000,2.6683283757650215e-07,0.023629786318988887,0.02531737005121726,-0.0008005996472486414,0.0018304430448239373,0.048947423203043725
1PN,Taylor,4,2.0,11.0,10.0,25.564703732028196,3663,414,success,,2000,2.6683286307021895e-07,0.018140769534248154,0.019425038761449537,-0.0006062444774711721,0.001433782155032759,0.037566075128560764
1PN,Taylor,4,3.0,11.0,10.0,25.564703732028196,3663,414,success,,2000,2.6683302489388946e-07,0.013940364563151175,0.014919386367666685,-0.0004596054342103351,0.0011231014287105268,0.028860017763842755
1PN,Taylor,4,4.0,11.0,10.0,25.564703732028196,3663,414,success,,2000,2.6683306555306817e-07,0.010719195593601913,0.011466469681686563,-0.00034873025552193315,0.000879534153245487,0.02218593210835403
1PN,Taylor,2,1.0,12.0,10.0,25.564703732028196,3285,792,success,,2000,0.07520427156220605,0.4802422502964033,0.5147243471799985,-0.034868981008969915,0.07079814302689158,1.0701708690386078
1PN,Taylor,2,2.0,12.0,10.0,25.564703732028196,3285,792,success,,2000,0.06484856860381981,0.39507527461509595,0.4223764395675089,-0.028221717714509473,0.05953878732394813,0.8823002827864247
1PN,Taylor,2,3.0,12.0,10.0,25.564703732028196,3285,792,success,,2000,0.05595188900616247,0.3251714420295008,0.3469149710820891,-0.02286104888489282,0.05004702317478582,0.7280383021177523
1PN,Taylor,2,4.0,12.0,10.0,25.564703732028196,3285,792,success,,2000,0.048275248376450496,0.26754949563076613,0.2849481397806932,-0.018519875962437916,0.04202060724379386,0.6007728837879098
