PN_order,degree,sigma_power,n_tests,median_stability_score,max_stability_score,median_nrmse_Ebind,median_nrmse_chi,median_nrmse_S,max_nrmse_S,median_bias_S,max_abs_residual_S
1PN,4,4.0,5,0.044716011720762304,0.07278014734267862,1.0035051534255005e-07,0.022355662832687806,0.022360248537559156,0.03515294894407118,-0.0018059294920649309,0.021841646170335238
1PN,4,3.0,5,0.05093303034723409,0.07810366754543693,1.003507945571314e-07,0.02545616906222651,0.025476760934213024,0.03773544583398897,-0.0020763334450623664,0.02332190782909116
1PN,4,2.0,5,0.0580216495992799,0.08381978464710782,1.0035040672966101e-07,0.02898972012538089,0.02903182912349228,0.040509719643731845,-0.0023881186229180677,0.024902139169386217
1PN,4,1.0,5,0.06611032331027605,0.08995955874264719,1.0035034417313552e-07,0.033019770488890945,0.03309045247104094,0.04349110305880909,-0.0027480231382235897,0.026589558927831547
1PN,3,4.0,5,0.16182256514334276,0.2178725968119674,0.0030976969083233506,0.07944922839876245,0.07927563983625695,0.102943320488923,0.0069484094736718075,0.05665930411668718
1PN,3,3.0,5,0.18485484333123947,0.23411708365527334,0.003436069859812048,0.09079282981959785,0.09062594365182958,0.11065627779840423,0.008029692796804846,0.06046058823614864
1PN,3,2.0,5,0.21116949222541634,0.25157122214877425,0.0038117013621189167,0.10375701291842979,0.10360077794486763,0.11894445056990655,0.009282084632355971,0.06450610126363543
1PN,3,1.0,5,0.25373588097379096,0.27034193203870194,0.004433341984754555,0.12042078204804464,0.12319761035942342,0.1287521092435399,0.010735956877394525,0.06881421801883825
1PN,2,4.0,5,0.6385010430936362,0.7203202892951157,0.051144970075404105,0.2893409580510676,0.299711137866219,0.33071529935913113,-0.028640657651257475,0.1596743490423762
1PN,2,3.0,5,0.7548447418581478,0.8197508904206008,0.05549411229138133,0.3480764454117975,0.3517425572332354,0.394751495645228,-0.03344858934861941,0.17113974666635734
1PN,2,2.0,5,0.8425930984772869,1.0837002086830818,0.06071204297886182,0.3922205396101153,0.3987453674410892,0.5245291740179238,-0.039069098427427215,0.183383071122579
1PN,2,1.0,5,0.9683301923460431,1.433919936113624,0.06728315209551232,0.4408850267879105,0.4601620134626203,0.6975700010032478,-0.04567002176097128,0.19649535993632306
