PN_order,degree,sigma_power,n_tests,median_stability_score,max_stability_score,median_nrmse_Ebind,median_nrmse_chi,median_nrmse_S,max_nrmse_S,median_bias_S,max_abs_residual_S
0PN,4,4.0,5,0.05712748493681372,0.09529400033283614,1.2801570877146763e-07,0.027895490803111735,0.029231866117993215,0.04692618161018594,-0.002068110048879955,0.024217328225477175
0PN,4,3.0,5,0.06831374266878157,0.10612894220444376,1.2801576160009193e-07,0.03334134416728541,0.034972270485734556,0.05228980663920198,-0.0025030564075032655,0.02677647868086197
0PN,4,2.0,5,0.0817000111899498,0.1182023747300518,1.280156099170913e-07,0.03985322116806418,0.041846662006275695,0.05827179225018423,-0.003031025031260194,0.029604906808929243
0PN,4,1.0,5,0.09774110750005569,0.1316653857130246,1.2801556764057887e-07,0.04764988925871587,0.05009109022577217,0.06494859064720812,-0.0036731322637065206,0.032732845132130706
0PN,3,4.0,5,0.18167658160137362,0.2520963436915693,1.2801558029189874e-07,0.08870923731254168,0.09296721627325165,0.12371690809551905,0.007117447950988931,0.05649637629528925
0PN,3,3.0,5,0.21829540000867795,0.2814296359498861,1.2801556794900692e-07,0.10657336630896194,0.11172190568414805,0.13809855380803712,0.008671300773331272,0.06237857726926954
0PN,3,2.0,5,0.2622122723876941,0.31412614549324347,1.2801554351693037e-07,0.12799778664612654,0.13421435772602405,0.15412241976877444,0.010565487033233185,0.06883763209213356
0PN,3,1.0,5,0.33202601606869075,0.35063600075469226,1.280154867052561e-07,0.15977644856123016,0.16640184670920088,0.18282096085046778,0.012882633642724862,0.07593811639874204
0PN,2,4.0,5,0.5953167621370445,0.7019275955721451,1.2801558756628423e-07,0.2870533989160327,0.3082632352054242,0.3530945581625898,-0.025624432574224355,0.14182758773127446
0PN,2,3.0,5,0.7563705258409633,0.7903121576975471,1.2801554028412103e-07,0.3662120244626487,0.386685906608912,0.42233870672281465,-0.031694237896772774,0.1579514276566094
0PN,2,2.0,5,0.8894569706402731,1.1260549516060216,1.280155143191582e-07,0.4325463883707675,0.45747149377719853,0.6039064625022735,-0.039209285187902114,0.17580318078267076
0PN,2,1.0,5,1.069781826175292,1.6080606394708097,1.2801547391578896e-07,0.5121462148150735,0.5576354833447447,0.8638447398635127,-0.04854584709097301,0.19564091490540214
1PN,4,4.0,5,0.044716011720762304,0.07278014734267862,1.0035051534255005e-07,0.022355662832687806,0.022360248537559156,0.03515294894407118,-0.0018059294920649309,0.021841646170335238
1PN,4,3.0,5,0.05093303034723409,0.07810366754543693,1.003507945571314e-07,0.02545616906222651,0.025476760934213024,0.03773544583398897,-0.0020763334450623664,0.02332190782909116
