q,chi1,chi2,theta1_deg,theta2_deg,dphi_deg,spin_geometry,a_merger_NR,a_max_0PN,delta_a_0PN,a_max_1PN,delta_a_1PN,a_max_2PN,delta_a_2PN
0.3,0.4,0.2,60.0,0.057295779513082325,,primary_tilted_secondary_aligned,3.1462114056058494,3.2612261226122623,0.11501471700641286,2.6031603160316035,0.543051089574246,2.5849584958495857,0.5612529097562637
0.3,0.2,0.2,0.057295779513082325,0.057295779513082325,,nearly_aligned,3.2387705386650842,3.424942494249425,0.18617195558434085,2.7267726772677268,0.5119978613973575,2.7111711171117108,0.5275994215533735
0.3,0.2,0.2,179.94270422048692,179.94270422048692,,nearly_antialigned,3.4778380093823777,4.9993999399939995,1.5215619306116217,4.072407240724072,0.5945692313416941,3.87998799879988,0.40214998941750224
0.3,0.2,0.2,0.057295779513082325,179.94270422048692,,primary_aligned_secondary_antialigned,3.259401440359351,3.539353935393539,0.2799524950341876,2.834683468346835,0.42471797201251604,2.7839783978397836,0.4754230425195676
0.3,0.2,0.2,179.94270422048692,0.057295779513082325,,primary_antialigned_secondary_aligned,3.458086677817605,4.845984598459847,1.3878979206422417,3.9540954095409546,0.4960087317233497,3.7993799379937983,0.3412932601761933
0.3,0.2,0.2,45.0,135.0,,counter_tilted_opposite_azimuth,3.3802680585049427,3.6849684968496845,0.3047004383447418,2.9776977697769773,0.4025702887279654,2.9139913991399133,0.4662766593650294
0.3,0.2,0.2,45.0,135.0,,counter_tilted_same_plane,3.3944435403766122,3.673267326732674,0.27882378635606164,2.96989698969897,0.424546550677642,2.9048904890489045,0.48955305132770777
0.3,0.2,0.2,90.0,90.0,,in_plane_oblique_135,3.1492596860535564,4.0763076307630755,0.927047944709519,3.3430343034303434,0.19377461737678692,3.2455245524552456,0.09626486640168919
0.3,0.2,0.2,90.0,90.0,,in_plane_oblique_45,3.132481075698583,4.056805680568056,0.9243246048694731,3.330033003300329,0.19755192760174634,3.233823382338233,0.10134230663965038
0.3,0.2,0.2,23.0,97.0,,random_like_1,3.2085766457760068,3.5263526352635264,0.3177759894875196,2.8268826882688263,0.3816939575071805,2.7852785278527854,0.42329811792322136
0.3,0.2,0.2,112.0,41.0,,random_like_2,3.395233865934531,4.296029602960296,0.9007957370257649,3.5315531553155317,0.1363192893810008,3.4236423642364233,0.028408498301892404
0.3,0.2,0.2,76.0,156.0,,random_like_3,3.141313659672962,3.9631963196319635,0.8218826599590017,3.242924292429242,0.10161063275628024,3.146714671467146,0.005401011794184285
0.3,0.2,0.2,0.057295779513082325,90.0,,one_aligned_one_in_plane,3.2404481905013633,3.482148214821482,0.2417000243201186,2.78007800780078,0.4603701827005833,2.7462746274627463,0.49417356303861704
0.3,0.2,0.2,179.94270422048692,90.0,,one_antialigned_one_in_plane,3.4341745263787393,4.9200920092009195,1.4859174828221802,4.0126012601260115,0.5784267337472722,3.839683968396839,0.4055094420180998
0.3,0.2,0.2,90.0,0.057295779513082325,,one_in_plane_one_aligned,3.2511878174602216,4.007400740074008,0.7562129226137864,3.283228322832283,0.03204050537206138,3.202620262026203,0.04856755543401858
0.3,0.2,0.2,90.0,179.94270422048692,,one_in_plane_one_antialigned,3.391706840423015,4.128312831283129,0.7366059908601139,3.3911391139113913,0.000567726511623512,3.2780278027802776,0.11367903764273724
0.3,0.2,0.2,160.0,80.0,,near_transitional_precession_candidate,3.3454861461244647,4.840784078407841,1.4952979322833766,3.9553955395539546,0.6099093934294899,3.791579157915791,0.44609301179132643
0.3,0.2,0.2,150.0,45.0,,primary_retrograde_secondary_tilted,3.3692064037862735,4.725072507250724,1.3558661034644506,3.8695869586958693,0.5003805549095959,3.722672267226722,0.3534658634404484
0.3,0.2,0.2,45.0,150.0,,primary_tilted_secondary_retrograde,3.3887650287987543,3.688868886888688,0.3001038580899338,2.9828982898289826,0.40586673896977166,2.915291529152915,0.4734734996458392
0.3,0.2,0.2,30.0,120.0,,generic_asymmetric_precessing,3.297713679587416,3.578357835783578,0.2806441561961619,2.876287628762876,0.42142605082454,2.8242824282428245,0.4734312513445915
0.3,0.2,0.2,70.0,135.0,,strong_asymmetric_precessing,3.172017729983979,3.894289428942894,0.7222716989589153,3.1766176617661763,0.0045999317821974195,3.090809080908091,0.08120864907588787
0.3,0.2,0.2,90.0,90.0,,in_plane_opposite,3.1593772719725166,4.081508150815081,0.9221308788425642,3.3443344334433434,0.18495716147082675,3.2481248124812474,0.0887475405087308
