# BBH Simulation Data - Version 1
# Initial Conditions: q=0.4, χ1=0.9, χ2=0.5, θ1_0_deg=45, θ2_0_deg=45, ΔΦ_0_deg=90
time_M,separation_M,angular_momentum_L,effective_spin_chi_eff,theta1_rad,theta2_rad,deltaphi_rad
0.0000000000000000e+00,1.0000000000000000e+02,2.0408163265306127e+00,4.3436559415745069e-01,7.8539816339744828e-01,7.8539816339744828e-01,1.5707963267948966e+00
8.9466584071487072e+04,9.9769776423632010e+01,2.0384657526902341e+00,4.2088931020743958e-01,7.7117930653628575e-01,8.4706429725108834e-01,2.0539266050304983e+00
1.7809598773084878e+05,9.9540082876215237e+01,2.0361178861965725e+00,4.1006723359528580e-01,7.5960864687398255e-01,8.9423916459447783e-01,2.5200927992307625e+00
2.6590204939870141e+05,9.9310918137497950e+01,2.0337727239313548e+00,4.0448214530611248e-01,7.5358182577867494e-01,9.1789282154348073e-01,2.9780373397654891e+00
3.5290126835686690e+05,9.9082280990037972e+01,2.0314302627799030e+00,4.0541782820049788e-01,7.5459420375021757e-01,9.1396035685417676e-01,-2.8502850632829109e+00
4.3911064956799534e+05,9.8854170219195723e+01,2.0290904996311241e+00,4.1260427745570505e-01,7.6233373967501461e-01,8.8334552281041512e-01,-2.3945985141993731e+00
5.2454552969672822e+05,9.8626584613128202e+01,2.0267534313775095e+00,4.2431070124472109e-01,7.7480873810441508e-01,8.3174036128767403e-01,-1.9323398517834383e+00
6.0921777364508098e+05,9.8399522962782314e+01,2.0244190549151306e+00,4.3775659158755792e-01,7.8894417599599986e-01,7.6928229278320204e-01,-1.4543288921521829e+00
6.9313469784545258e+05,9.8172984061888357e+01,2.0220873671436319e+00,4.4976032171400532e-01,8.0139784094028532e-01,7.0990692872148742e-01,-9.5007428608826638e-01
7.7629900793123513e+05,9.7946966706953958e+01,2.0197583649662305e+00,4.5749105118611944e-01,8.0933930821222111e-01,6.6940399411063967e-01,-4.1556457503354105e-01
8.5870985064662411e+05,9.7721469697257248e+01,2.0174320452897092e+00,4.5914694087689750e-01,8.1103251516399977e-01,6.6045811554069389e-01,1.3669167106581648e-01
9.4036476820668753e+05,9.7496491834840867e+01,2.0151084050244141e+00,4.5438125259600848e-01,8.0615201505065370e-01,6.8593739463410641e-01,6.8019556215852028e-01
1.0212620287469649e+06,9.7272031924505427e+01,2.0127874410842503e+00,4.4435905478482712e-01,7.9581292413828431e-01,7.3710382218649573e-01,1.1941064035114000e+00
1.1014026680100162e+06,9.7048088773803016e+01,2.0104691503866756e+00,4.3143747894456597e-01,7.8232604684352147e-01,7.9910788361054574e-01,1.6753489680410321e+00
1.1807917048032228e+06,9.6824661193031247e+01,2.0081535298527009e+00,4.1857478454415198e-01,7.6871634237194741e-01,8.5731390498885229e-01,2.1323773095657654e+00
1.2594383096546731e+06,9.6601747995226461e+01,2.0058405764068805e+00,4.0863856038128588e-01,7.5807063283991794e-01,9.0033183095891445e-01,2.5753398362164273e+00
1.3373550329795845e+06,9.6379347996157861e+01,2.0035302869773139e+00,4.0378294093370770e-01,7.5282459614521180e-01,9.2082371302628252e-01,3.0114721550565373e+00
1.4145563943271516e+06,9.6157460014321003e+01,2.0012226584956370e+00,4.0501754186250460e-01,7.5416124070093227e-01,9.1564412422824493e-01,-2.8381830471051268e+00
1.4910571780845055e+06,9.5936082870931415e+01,1.9989176878970192e+00,4.1203084192868844e-01,7.6171848176589652e-01,8.8581621822279855e-01,-2.4039001693540145e+00
1.5668707444019762e+06,9.5715215389918654e+01,1.9966153721201620e+00,4.2328095386131337e-01,7.7371779519783401e-01,8.3637471114374551e-01,-1.9638426567518139e+00
1.6420076248650751e+06,9.5494856397919662e+01,1.9943157081072911e+00,4.3632948378928305e-01,7.8745335616008150e-01,7.7609690841634327e-01,-1.5099738351933052e+00
1.7164746532636744e+06,9.5275004724272904e+01,1.9920186928041541e+00,4.4835971425865118e-01,7.9995252325112232e-01,7.1704055271638767e-01,-1.0327138993626683e+00
1.7902748412506701e+06,9.5055659201011963e+01,1.9897243231600183e+00,4.5678273082003434e-01,8.0861419026184111e-01,6.7319988915402940e-01,-5.2686840632157972e-01
1.8634080902843422e+06,9.4836818662859230e+01,1.9874325961276622e+00,4.5980294673382860e-01,8.1170255179987427e-01,6.5688548837623517e-01,-4.5167961151075379e-04
1.9358726229616757e+06,9.4618481947220019e+01,1.9851435086633762e+00,4.5680815639463573e-01,8.0864022747827258e-01,6.7306394629802568e-01,5.2420340520666697e-01
2.0076667897944886e+06,9.4400647894176046e+01,1.9828570577269549e+00,4.4848529855991515e-01,8.0008219921131962e-01,7.1640331154419001e-01,1.0250575045156431e+00
2.0787907767085708e+06,9.4183315346479517e+01,1.9805732402816945e+00,4.3663709647954002e-01,7.8777488892098335e-01,7.7463203659656166e-01,1.4945182046640795e+00
2.1492477846554155e+06,9.3966483149546960e+01,1.9782920532943911e+00,4.2375852171360034e-01,7.7422389514075696e-01,8.3422785213414696e-01,1.9378213038904124e+00
2.2190444477501530e+06,9.3750150151452857e+01,1.9760134937353313e+00,4.1249046680007673e-01,7.6221166000778151e-01,8.8383628365309141e-01,2.3643064321664351e+00
2.2881904968785550e+06,9.3534315202923864e+01,1.9737375585782937e+00,4.0508174292786592e-01,7.5423069614667493e-01,9.1537421522685791e-01,2.7817693739618536e+00
2.3566978484228509e+06,9.3318977157332398e+01,1.9714642448005404e+00,4.0296544078132412e-01,7.5193847678650971e-01,9.2424221386619987e-01,-3.0881306436362541e+00
2.4245793635995975e+06,9.3104134870690757e+01,1.9691935493828165e+00,4.0651345115228127e-01,7.5577824789367110e-01,9.0934048630525077e-01,-2.6760427005285816e+00
2.4918475109481914e+06,9.2889787201645035e+01,1.9669254693093448e+00,4.1499356837103474e-01,7.6489303588421154e-01,8.7299647671633274e-01,-2.2619573749318058e+00
2.5585131296097175e+06,9.2675933011468786e+01,1.9646600015678202e+00,4.2672460670435952e-01,7.7736134621990982e-01,8.2079897411067948e-01,-1.8406104364340781e+00
2.6245844717835449e+06,9.2462571164057437e+01,1.9623971431494085e+00,4.3940216079922390e-01,7.9066047571578568e-01,7.6136445113881401e-01,-1.4041613526909649e+00
2.6900666920464085e+06,9.2249700525921753e+01,1.9601368910487400e+00,4.5054374586930024e-01,8.0220539177383310e-01,7.0589084249200340e-01,-9.4427740303570418e-01
2.7549619146928685e+06,9.2037319966182210e+01,1.9578792422639069e+00,4.5797589565029495e-01,8.0983536176322068e-01,6.6679517896561891e-01,-4.5789874782345580e-01
2.8192699141382747e+06,9.1825428356562867e+01,1.9556241937964598e+00,4.6026615702548157e-01,8.1217541286127126e-01,6.5435283137915079e-01,4.5627315786614539e-02
2.8829892923844433e+06,9.1614024571385173e+01,1.9533717426514010e+00,4.5700400534576602e-01,8.0884076611890099e-01,6.7201602303288710e-01,5.4538713618328405e-01
2.9461188888002294e+06,9.1403107487562323e+01,1.9511218858371846e+00,4.4886538855831537e-01,8.0047457346005002e-01,7.1447180578732161e-01,1.0221640865286294e+00
3.0086590814875327e+06,9.1192675984592995e+01,1.9488746203657079e+00,4.3745009069099339e-01,7.8862417787985473e-01,7.7074989955170081e-01,1.4695925488106603e+00
3.0706126837331066e+06,9.0982728944555589e+01,1.9466299432523115e+00,4.2493941984220601e-01,7.7547422264066956e-01,8.2890118827117842e-01,1.8923148482702223e+00
3.1319852769036540e+06,9.0773265252102291e+01,1.9443878515157744e+00,4.1366119093419762e-01,7.6346669977657322e-01,8.7877852908583731e-01,2.2986728381090149e+00
3.1927849852481089e+06,9.0564283794452905e+01,1.9421483421783068e+00,4.0565782402638517e-01,7.5485369565384142e-01,9.1294978793751269e-01,2.6958675604634879e+00
