# BBH Simulation Data 
# Initial Conditions: q=0.5, chi1=0.4, chi2=0.4, theta1_0_deg=45, theta2_0_deg=45, deltaphi_0_deg=90
time_M,separation_M,angular_momentum_L,effective_spin_chi_eff,theta1_rad,theta2_rad,deltaphi_rad
0.0000000000000000e+00,1.0000000000000000e+02,2.2222222222222223e+00,2.8284271247461912e-01,7.8539816339744806e-01,7.8539816339744806e-01,1.5707963267948966e+00
8.2370576112516774e+03,9.9976974497530506e+01,2.2219663685771498e+00,2.8284271247463272e-01,7.8419877108838332e-01,7.8779264441840002e-01,1.6096040461740888e+00
1.6466488859577225e+04,9.9953954296798599e+01,2.2217105443895662e+00,2.8284271247464032e-01,7.8299860827586987e-01,7.9018009597972494e-01,1.6483472808893294e+00
2.4688300857420782e+04,9.9930939396583639e+01,2.2214547496560813e+00,2.8284271247463960e-01,7.8179950195258308e-01,7.9255695749097588e-01,1.6870277786593384e+00
3.2902500810702863e+04,9.9907929795665098e+01,2.2211989843733031e+00,2.8284271247463882e-01,7.8060328047562955e-01,7.9491971586818910e-01,1.7256473314594136e+00
4.1109096017954696e+04,9.9884925492822731e+01,2.2209432485378402e+00,2.8284271247463788e-01,7.7941177080449819e-01,7.9726490978405484e-01,1.7642077661225750e+00
4.9308093869315264e+04,9.9861926486836737e+01,2.2206875421463033e+00,2.8284271247463261e-01,7.7822679571380626e-01,7.9958913370401263e-01,1.8027109352464064e+00
5.7499501845605439e+04,9.9838932776487383e+01,2.2204318651953017e+00,2.8284271247463749e-01,7.7705017098472684e-01,8.0188904171373898e-01,1.8411587084372347e+00
6.5683327516927762e+04,9.9815944360555420e+01,2.2201762176814461e+00,2.8284271247463810e-01,7.7588370257916561e-01,8.0416135114488452e-01,1.8795529639229054e+00
7.3859578541434690e+04,9.9792961237821743e+01,2.2199205996013478e+00,2.8284271247463805e-01,7.7472918380087041e-01,8.0640284600382217e-01,1.9178955805650824e+00
8.2028262663792615e+04,9.9769983407067500e+01,2.2196650109516165e+00,2.8284271247463810e-01,7.7358839244809352e-01,8.0861038021141884e-01,1.9561884302933299e+00
9.0189387713480843e+04,9.9747010867074295e+01,2.2194094517288652e+00,2.8284271247463844e-01,7.7246308796254681e-01,8.1078088065956888e-01,1.9944333709836224e+00
9.8342961603151183e+04,9.9724043616623860e+01,2.2191539219297054e+00,2.8284271247464005e-01,7.7135500857962880e-01,8.1291135009151239e-01,2.0326322398012255e+00
1.0648899232670995e+05,9.9701081654498182e+01,2.2188984215507483e+00,2.8284271247464293e-01,7.7026586848519352e-01,8.1499886981258529e-01,2.0707868470234980e+00
