# BBH Simulation Data - Version 1
# Initial Conditions: q=0.5, χ1=0.6, χ2=0.5, θ1_0_deg=45, θ2_0_deg=45, ΔΦ_0_deg=90
time_M,separation_M,angular_momentum_L,effective_spin_chi_eff,theta1_rad,theta2_rad,deltaphi_rad
0.0000000000000000e+00,1.0000000000000000e+02,2.2222222222222223e+00,3.7712361663282534e-01,7.8539816339744828e-01,7.8539816339744828e-01,1.5707963267948966e+00
8.2136946812568349e+04,9.9769776423632010e+01,2.2196627084849214e+00,3.7077943040897143e-01,7.7033069072694027e-01,8.2067157216717490e-01,1.9409873488349971e+00
1.6351157961047709e+05,9.9540082876215237e+01,2.2171061427473786e+00,3.6520772081312147e-01,7.5690229136053500e-01,8.5071847698327707e-01,2.3041926810416120e+00
2.4413302860705252e+05,9.9310918137497950e+01,2.2145525216141415e+00,3.6117483737126238e-01,7.4706241620255631e-01,8.7198032497820954e-01,2.6632894458555598e+00
3.2401147189283546e+05,9.9082280990037972e+01,2.2120018416936715e+00,3.5921998848918374e-01,7.4225500264322564e-01,8.8215040882757578e-01,3.0200611804570352e+00
4.0315764872488228e+05,9.8854170219195723e+01,2.2094540995983345e+00,3.5959111107741099e-01,7.4316960902342399e-01,8.8022623606315664e-01,-2.9078210363758599e+00
4.8158232355732733e+05,9.8626584613128202e+01,2.2069092919443989e+00,3.6222034726617447e-01,7.4962333934732650e-01,8.6650530106717549e-01,-2.5534118565848782e+00
5.5929576145110454e+05,9.8399522962782314e+01,2.2043674153520310e+00,3.6673940331454968e-01,7.6061265526591615e-01,8.4253913354893339e-01,-2.1988488432847415e+00
6.3630726869599347e+05,9.8172984061888357e+01,2.2018284664452876e+00,3.7253170897225607e-01,7.7451550287182647e-01,8.1104779441420605e-01,-1.8421309215651274e+00
7.1262484731924138e+05,9.7946966706953958e+01,2.1992924418521174e+00,3.7881526319259895e-01,7.8937750550731589e-01,7.7578238595208671e-01,-1.4803749194503577e+00
7.8825500598873012e+05,9.7721469697257248e+01,2.1967593382043495e+00,3.8474684369179896e-01,8.0320862147579741e-01,7.4128766556748615e-01,-1.1105628574826805e+00
8.6320275791619450e+05,9.7496491834840867e+01,2.1942291521376949e+00,3.8953499549468107e-01,8.1424016093040197e-01,7.1246577520217746e-01,-7.3090314140900070e-01
9.3747181512693630e+05,9.7272031924505427e+01,2.1917018802917387e+00,3.9254673646255178e-01,8.2112043006649515e-01,6.9383495143678386e-01,-3.4236536161882869e-01
1.0110649587055146e+06,9.7048088773803016e+01,2.1891775193099350e+00,3.9339244437719922e-01,8.2304450985132882e-01,6.8852810964015820e-01,5.0625650759260468e-02
1.0839845324097674e+06,9.6824661193031247e+01,2.1866560658396073e+00,3.9197587284069046e-01,8.1981970130052451e-01,6.9739806952938987e-01,4.4137892136577972e-01
1.1562329821714556e+06,9.6601747995226461e+01,2.1841375165319361e+00,3.8850173080408484e-01,8.1186938476901960e-01,7.1876539151603114e-01,8.2367974594677684e-01
1.2278133550714734e+06,9.6379347996157861e+01,2.1816218680419635e+00,3.8344064763881203e-01,8.0017885402963052e-01,7.4899300410443914e-01,1.1941582706592837e+00
1.2987296822701637e+06,9.6157460014321003e+01,2.1791091170285819e+00,3.7745871519258084e-01,7.8618768668537253e-01,7.8350075847532974e-01,1.5527802265629658e+00
