# BBH Simulation Data - Version 1
# Initial Conditions: q=0.5, chi1=0.6, chi2=0.5, theta1_0_deg=45, theta2_0_deg=45, deltaphi_0_deg=90
time_M,separation_M,angular_momentum_L,effective_spin_chi_eff,theta1_rad,theta2_rad,deltaphi_rad
0.0000000000000000e+00,1.0000000000000000e+02,2.2222222222222223e+00,3.7712361663282534e-01,7.8539816339744828e-01,7.8539816339744828e-01,1.5707963267948966e+00
8.2408102277789294e+03,9.9976974497530506e+01,2.2219663685771498e+00,3.7648003912117883e-01,7.8388008378939344e-01,7.8903219250117773e-01,1.6081940091208116e+00
1.6473939694033812e+04,9.9953954296798599e+01,2.2217105443895662e+00,3.7583617571488864e-01,7.8235901316058198e-01,7.9265476370307730e-01,1.6454908229738419e+00
2.4699395554032373e+04,9.9930939396583639e+01,2.2214547496560813e+00,3.7519295098192151e-01,7.8083712347909973e-01,7.9626087257316946e-01,1.6826902605923415e+00
3.2917185124814911e+04,9.9907929795665098e+01,2.2211989843733031e+00,3.7455128626927148e-01,7.7931659240154483e-01,7.9984560152013273e-01,1.7197958552653747e+00
4.1127315883761992e+04,9.9884925492822731e+01,2.2209432485378402e+00,3.7391209839318529e-01,7.7779960025058148e-01,8.0340412401963734e-01,1.7568111648576310e+00
4.9329795466882031e+04,9.9861926486836737e+01,2.2206875421463033e+00,3.7327629834493570e-01,7.7628832695288663e-01,8.0693170850219231e-01,1.7937397561748381e+00
5.7524631667086374e+04,9.9838932776487383e+01,2.2204318651953017e+00,3.7264479001389583e-01,7.7478494894067362e-01,8.1042372192218637e-01,1.8305851901900088e+00
6.5711832431970819e+04,9.9815944360555420e+01,2.2201762176814461e+00,3.7201846892934043e-01,7.7329163602021789e-01,8.1387563303039123e-01,1.8673510081478082e+00
7.3891405861645704e+04,9.9792961237821743e+01,2.2199205996013478e+00,3.7139822102299153e-01,7.7181054821097317e-01,8.1728301536889458e-01,1.9040407185613550e+00
8.2063360206199170e+04,9.9769983407067500e+01,2.2196650109516165e+00,3.7078492141342589e-01,7.7034383255938010e-01,8.2064155000998451e-01,1.9406577851062923e+00
9.0227703862933049e+04,9.9747010867074295e+01,2.2194094517288652e+00,3.7017943321407309e-01,7.6889361993167471e-01,8.2394702805690168e-01,1.9772056154162749e+00
9.8384445373584327e+04,9.9724043616623860e+01,2.2191539219297054e+00,3.6958260636612250e-01,7.6746202179033751e-01,8.2719535292485458e-01,2.0136875507801504e+00
1.0653359342121446e+05,9.9701081654498182e+01,2.2188984215507483e+00,3.6899527649767500e-01,7.6605112695916300e-01,8.3038254241934595e-01,2.0501068567392440e+00
1.1467515682686926e+05,9.9678124979479719e+01,2.2186429505886092e+00,3.6841826381047266e-01,7.6466299838243057e-01,8.3350473062750019e-01,2.0864667145746800e+00
1.2280914454630404e+05,9.9655173590350984e+01,2.2183875090398986e+00,3.6785237199538789e-01,7.6329966988373787e-01,8.3655816963753005e-01,2.1227702136813194e+00
1.3093556566624372e+05,9.9632227485894958e+01,2.2181320969012317e+00,3.6729838717780339e-01,7.6196314293059830e-01,8.3953923110027073e-01,2.1590203448164700e+00
1.3905442940073623e+05,9.9609286664894796e+01,2.2178767141692219e+00,3.6675707689397452e-01,7.6065538341113725e-01,8.4244440764563211e-01,2.1952199942132142e+00
1.4716574508723631e+05,9.9586351126133877e+01,2.2176213608404827e+00,3.6622918909942281e-01,7.5937831842961634e-01,8.4527031416567866e-01,2.2313719385443598e+00
1.5526952218246230e+05,9.9563420868396051e+01,2.2173660369116299e+00,3.6571545121029286e-01,7.5813383312778881e-01,8.4801368897530782e-01,2.2674788407230695e+00
1.6336577025833970e+05,9.9540495890465294e+01,2.2171107423792780e+00,3.6521656917856393e-01,7.5692376753932178e-01,8.5067139486048149e-01,2.3035432465261372e+00
1.7145449899764330e+05,9.9517576191125841e+01,2.2168554772400428e+00,3.6473322660197682e-01,7.5574991348490672e-01,8.5324042002288136e-01,2.3395675820217718e+00
