# BBH Simulation Data - Version 1
# Initial Conditions: q=0.1, chi1=0.9, chi2=0.5, theta1_0_deg=45, theta2_0_deg=45, deltaphi_0_deg=90
time_M,separation_M,angular_momentum_L,effective_spin_chi_eff,theta1_rad,theta2_rad,deltaphi_rad
0.0000000000000000e+00,1.0000000000000000e+02,8.2644628099173556e-01,3.7926636445460277e-01,7.8539816339744828e-01,7.8539816339744828e-01,1.5707963267948966e+00
2.2132154876671029e+04,9.9976974497530506e+01,8.2635112880968387e-01,3.7277774735007296e-01,7.8426464537626761e-01,8.0558749356972292e-01,1.8044469316087119e+00
4.4243338414929487e+04,9.9953954296798599e+01,8.2625598758289653e-01,3.6652869331235693e-01,7.8317175876447931e-01,8.2466793568430996e-01,2.0340162280840883e+00
6.6333613264570013e+04,9.9930939396583639e+01,8.2616085731011291e-01,3.6086737923419893e-01,7.8218062423379586e-01,8.4166757870145326e-01,2.2601914463428852e+00
8.8403076195611240e+04,9.9907929795665098e+01,8.2606573799007144e-01,3.5610848406341972e-01,7.8134671204481809e-01,8.5576002863332878e-01,2.4836888050912407e+00
1.1045185359856530e+05,9.9884925492822731e+01,8.2597062962151080e-01,3.5251584209302178e-01,7.8071670042730223e-01,8.6628552114885293e-01,2.7052083606015822e+00
1.3248009539576140e+05,9.9861926486836737e+01,8.2587553220317067e-01,3.5028799730719451e-01,7.8032582057364075e-01,8.7276539909940043e-01,2.9254150874231790e+00
1.5448796771126331e+05,9.9838932776487383e+01,8.2578044573378995e-01,3.4954742300546343e-01,7.8019585113850531e-01,8.7491162270648903e-01,-3.1382456516102688e+00
1.7647564470198096e+05,9.9815944360555420e+01,8.2568537021210819e-01,3.5033396609200168e-01,7.8033388744877719e-01,8.7263205183296144e-01,-2.9187932461463428e+00
1.9844329999171372e+05,9.9792961237821743e+01,8.2559030563686497e-01,3.5260284633371791e-01,7.8073196236710185e-01,8.6603173930203092e-01,-2.6988038177597158e+00
2.2039109816272854e+05,9.9769983407067500e+01,8.2549525200679952e-01,3.5622729863048413e-01,7.8136754072635972e-01,8.5541029593521567e-01,-2.4776492879876479e+00
2.4231918675526255e+05,9.9747010867074295e+01,8.2540020932065239e-01,3.6100570178279318e-01,7.8220485234348724e-01,8.4125532533530811e-01,-2.2546694822737878e+00
2.6422768919974967e+05,9.9724043616623860e+01,8.2530517757716326e-01,3.6667280104631894e-01,7.8319697503408392e-01,8.2423174582230374e-01,-2.0291718825472982e+00
2.8611669906081568e+05,9.9701081654498182e+01,8.2521015677507181e-01,3.7291441439911038e-01,7.8428853346679062e-01,8.0516632036691860e-01,-1.8004508971806785e+00
3.0798627590941114e+05,9.9678124979479719e+01,8.2511514691311916e-01,3.7938482416840136e-01,7.8541884557045138e-01,7.8502581110162339e-01,-1.5678327852741003e+00
3.2983644305547292e+05,9.9655173590350984e+01,8.2502014799004497e-01,3.8572590629439052e-01,7.8652532735928837e-01,7.6488597596728602e-01,-1.3307503236353855e+00
3.5166718727695965e+05,9.9632227485894958e+01,8.2492516000459037e-01,3.9158694800400284e-01,7.8754695964260268e-01,7.4588758434643443e-01,-1.0888459198098053e+00
3.7347846057550242e+05,9.9609286664894796e+01,8.2483018295549582e-01,3.9664405843283440e-01,7.8842762495772423e-01,7.2917565624020375e-01,-8.4209149565925856e-01
